frame,dt_ms,fps
0,56.738,17.6
1,1.554,643.4
2,30.075,33.2
3,13.253,75.5
4,8.664,115.4
5,2.608,383.5
6,14.473,69.1
7,0.934,1070.7
8,15.031,66.5
9,2.323,430.5
10,14.198,70.4
11,10.485,95.4
12,14.546,68.7
13,8.198,122.0
14,12.143,82.4
15,13.542,73.8
16,1.778,562.5
17,16.934,59.1
18,6.889,145.2
19,15.448,64.7
20,10.403,96.1
21,6.305,158.6
22,3.509,284.9
23,13.180,75.9
24,11.804,84.7
25,31.029,32.2
26,70.206,14.2
27,10.256,97.5
28,5.762,173.5
29,81.921,12.2
30,1.909,523.8
31,0.982,1018.5
32,1.010,990.2
33,1.103,906.4
34,1.381,724.1
35,32.240,31.0
36,83.021,12.0
37,1.987,503.3
38,7.270,137.5
39,7.826,127.8
40,5.744,174.1
41,11.019,90.8
42,8.168,122.4
43,16.732,59.8
44,5.107,195.8
45,11.556,86.5
46,8.210,121.8
47,18.215,54.9
48,6.718,148.9
49,16.789,59.6
50,5.935,168.5
51,10.694,93.5
52,6.001,166.6
53,10.671,93.7
54,5.213,191.8
55,11.393,87.8
56,8.327,120.1
57,28.318,35.3
58,4.973,201.1
59,21.247,47.1
60,7.875,127.0
61,10.798,92.6
62,5.803,172.3
63,16.874,59.3
64,16.525,60.5
65,4.027,248.3
66,16.907,59.1
67,16.568,60.4
68,8.296,120.5
69,16.796,59.5
70,8.066,124.0
71,16.815,59.5
72,16.565,60.4
73,8.308,120.4
74,16.709,59.8
75,17.819,56.1
76,7.121,140.4
77,16.859,59.3
78,16.551,60.4
79,8.304,120.4
80,17.806,56.2
81,15.623,64.0
82,8.097,123.5
83,16.851,59.3
84,16.607,60.2
85,13.735,72.8
86,11.229,89.1
87,8.380,119.3
88,16.707,59.9
89,16.707,59.9
90,8.344,119.8
91,5.915,169.1
92,10.768,92.9
93,8.276,120.8
94,3.196,312.9
95,13.354,74.9
96,8.482,117.9
97,3.902,256.3
98,12.664,79.0
99,8.291,120.6
100,3.637,275.0
101,12.956,77.2
102,28.011,35.7
103,13.623,73.4
104,14.217,70.3
105,2.410,415.0
106,16.802,59.5
107,22.785,43.9
108,10.621,94.1
109,3.153,317.2
110,13.278,75.3
111,8.266,121.0
112,16.792,59.6
113,16.605,60.2
114,8.230,121.5
115,16.755,59.7
116,16.730,59.8
117,8.343,119.9
118,3.033,329.7
119,15.030,66.5
120,6.939,144.1
121,3.363,297.3
122,13.193,75.8
123,13.082,76.4
124,17.080,58.5
125,3.055,327.4
126,16.847,59.4
127,16.614,60.2
128,10.568,94.6
129,14.559,68.7
130,8.279,120.8
131,2.236,447.2
132,14.392,69.5
133,8.334,120.0
134,2.087,479.2
135,20.401,49.0
136,2.286,437.4
137,16.906,59.2
138,16.892,59.2
139,8.400,119.0
140,1.614,619.8
141,15.083,66.3
142,3.824,261.5
143,12.717,78.6
144,8.263,121.0
145,2.147,465.7
146,14.421,69.3
147,8.306,120.4
148,1.664,601.1
149,15.119,66.1
150,8.357,119.7
151,4.248,235.4
152,12.340,81.0
153,8.273,120.9
154,1.914,522.3
155,15.011,66.6
156,7.993,125.1
157,1.811,552.1
158,15.267,65.5
159,8.098,123.5
160,4.357,229.5
161,12.334,81.1
162,8.257,121.1
163,2.034,491.5
164,14.128,70.8
165,8.516,117.4
166,1.387,721.0
167,15.379,65.0
168,8.159,122.6
169,1.848,541.1
170,14.997,66.7
171,8.352,119.7
172,2.468,405.3
173,13.882,72.0
174,14.232,70.3
175,10.377,96.4
176,8.201,121.9
177,16.786,59.6
178,16.701,59.9
179,11.046,90.5
180,14.446,69.2
181,8.131,123.0
182,1.670,598.7
183,15.299,65.4
184,8.051,124.2
185,1.916,522.0
186,17.309,57.8
187,5.548,180.2
188,1.706,586.1
189,15.406,64.9
190,10.551,94.8
191,14.584,68.6
192,8.116,123.2
193,17.570,56.9
194,6.937,144.2
195,2.209,452.8
196,14.899,67.1
197,7.706,129.8
198,3.158,316.6
199,13.186,75.8
summary,11.788,84.8
cpu_time,0.215,
peak_rss_kb,46333952,
vertex_count,215960,,
