frame,dt_ms,fps
0,39.859,25.1
1,2.472,404.5
2,2.235,447.4
3,2.741,364.8
4,12.633,79.2
5,12.754,78.4
6,13.746,72.8
7,6.749,148.2
8,16.843,59.4
9,2.504,399.4
10,14.908,67.1
11,1.603,624.0
12,14.349,69.7
13,8.133,123.0
14,21.360,46.8
15,12.193,82.0
16,2.597,385.1
17,18.751,53.3
18,11.740,85.2
19,8.330,120.0
20,8.454,118.3
21,21.618,46.3
22,3.112,321.3
23,16.668,60.0
24,16.982,58.9
25,2.531,395.1
26,26.659,37.5
27,12.368,80.9
28,4.044,247.3
29,17.425,57.4
30,15.881,63.0
31,8.307,120.4
32,17.120,58.4
33,16.389,61.0
34,12.337,81.1
35,12.582,79.5
36,8.214,121.7
37,16.995,58.8
38,16.514,60.6
39,12.801,78.1
40,12.073,82.8
41,8.245,121.3
42,17.049,58.7
43,16.457,60.8
44,8.180,122.2
45,16.879,59.2
46,17.203,58.1
47,8.291,120.6
48,2.263,441.9
49,14.381,69.5
50,8.193,122.1
51,16.989,58.9
52,7.971,125.5
53,2.940,340.1
54,14.255,70.2
55,7.668,130.4
56,2.910,343.6
57,13.836,72.3
58,8.164,122.5
59,2.801,357.0
60,13.963,71.6
61,8.277,120.8
62,2.926,341.7
63,13.735,72.8
64,8.137,122.9
65,2.843,351.8
66,14.091,71.0
67,8.190,122.1
68,2.915,343.1
69,13.785,72.5
70,11.704,85.4
71,13.770,72.6
72,7.722,129.5
73,2.784,359.2
74,13.719,72.9
75,8.118,123.2
76,2.646,377.9
77,15.658,63.9
78,6.845,146.1
79,2.699,370.5
80,14.004,71.4
81,13.237,75.5
82,11.731,85.2
83,8.502,117.6
84,3.050,327.9
85,13.672,73.1
86,7.984,125.3
87,2.902,344.6
88,16.656,60.0
89,5.249,190.5
90,3.012,332.0
91,13.877,72.1
92,14.296,70.0
93,10.803,92.6
94,8.127,123.0
95,2.669,374.6
96,14.429,69.3
97,7.751,129.0
98,3.322,301.0
99,13.677,73.1
100,8.524,117.3
101,4.317,231.6
102,12.166,82.2
103,8.137,122.9
104,10.865,92.0
105,13.458,74.3
106,8.148,122.7
107,18.010,55.5
108,16.248,61.5
109,11.414,87.6
110,13.190,75.8
111,8.162,122.5
112,3.136,318.9
113,13.621,73.4
114,8.153,122.7
115,2.659,376.1
116,15.950,62.7
117,6.433,155.4
118,2.886,346.5
119,13.993,71.5
120,24.710,40.5
121,18.243,54.8
122,3.552,281.5
123,2.234,447.6
124,12.892,77.6
125,8.614,116.1
126,8.038,124.4
127,16.763,59.7
128,17.192,58.2
129,8.158,122.6
130,2.852,350.6
131,14.015,71.4
132,8.403,119.0
133,16.565,60.4
134,8.168,122.4
135,2.992,334.2
136,14.454,69.2
137,7.779,128.6
138,17.159,58.3
139,7.470,133.9
140,3.124,320.1
141,14.138,70.7
142,10.793,92.7
143,14.008,71.4
144,7.985,125.2
145,2.980,335.6
146,14.586,68.6
147,7.529,132.8
148,19.440,51.4
149,5.404,185.0
150,2.794,357.9
151,14.204,70.4
152,12.025,83.2
153,13.056,76.6
154,7.572,132.1
155,2.913,343.3
156,14.838,67.4
157,7.443,134.3
158,2.882,347.0
159,13.786,72.5
160,8.563,116.8
161,16.668,60.0
162,8.065,124.0
163,5.867,170.4
164,9.998,100.0
165,9.282,107.7
166,17.370,57.6
167,7.182,139.2
168,2.980,335.6
169,13.137,76.1
170,8.751,114.3
171,3.017,331.5
172,13.963,71.6
173,8.149,122.7
174,18.265,54.7
175,6.612,151.2
176,2.914,343.2
177,13.837,72.3
178,8.577,116.6
179,16.464,60.7
180,13.704,73.0
181,10.495,95.3
182,9.146,109.3
183,16.909,59.1
184,7.774,128.6
185,3.191,313.4
186,14.860,67.3
187,6.830,146.4
188,2.768,361.3
189,14.313,69.9
190,14.254,70.2
191,9.687,103.2
192,9.222,108.4
193,17.193,58.2
194,7.646,130.8
195,3.767,265.5
196,15.617,64.0
197,4.803,208.2
198,4.131,242.1
199,12.443,80.4
summary,10.367,96.5
cpu_time,0.303,
peak_rss_kb,49414144,
vertex_count,603200,
